iter	Passed	Remaining
280	17024	19327
281	17077	19257
282	17127	19184
283	17169	19104
284	17216	19029
285	17261	18951
286	17312	18881
287	17358	18805
288	17403	18728
289	17453	18656
290	17496	18578
291	17544	18505
292	17592	18432
293	17642	18363
294	17695	18294
295	17748	18228
296	17797	18156
297	17840	18079
298	17892	18011
299	17937	17937
300	17988	17868
301	18034	17795
302	18082	17724
303	18131	17654
304	18177	17581
305	18231	17516
306	18283	17449
307	18335	17382
308	18391	17320
309	18436	17247
310	18494	17186
311	18547	17120
312	18614	17068
313	18667	17003
314	18734	16950
315	18774	16873
316	18822	16803
317	18867	16731
318	18921	16667
319	18969	16598
320	19024	16535
321	19076	16469
322	19124	16400
323	19175	16334
324	19240	16280
325	19292	16215
326	19339	16146
327	19389	16078
328	19432	16006
329	19466	15927
330	19522	15865
331	19566	15794
332	19614	15727
333	19662	15659
334	19715	15596
335	19766	15530
336	19822	15469
337	19877	15407
338	19921	15337
339	19966	15268
340	20011	15198
341	20056	15130
342	20104	15063
343	20155	14999
344	20204	14933
345	20249	14864
346	20292	14795
347	20335	14725
348	20365	14646
349	20419	14585
350	20465	14517
351	20509	14449
352	20558	14385
353	20611	14323
354	20655	14255
355	20712	14196
356	20765	14134
357	20810	14067
358	20861	14004
359	20899	13933
360	20941	13864
361	20991	13801
362	21040	13737
363	21091	13674
364	21136	13608
365	21180	13541
366	21245	13488
367	21293	13424
368	21341	13360
369	21389	13296
370	21437	13232
371	21483	13167
372	21528	13101
373	21563	13030
374	21616	12969
375	21660	12903
376	21718	12846
377	21767	12784
378	21825	12726
379	21870	12661
380	21920	12599
381	21979	12543
382	22023	12478
383	22070	12414
384	22118	12351
385	22163	12287
386	22208	12223
387	22253	12158
388	22304	12098
389	22349	12034
390	22385	11965
391	22435	11904
392	22475	11838
393	22528	11778
394	22572	11714
395	22619	11652
396	22672	11593
397	22719	11530
398	22760	11466
399	22800	11400
400	22850	11339
401	22899	11279
402	22950	11219
403	23016	11166
404	23066	11105
405	23118	11046
406	23168	10986
407	23221	10927
408	23272	10868
409	23330	10811
410	23377	10750
411	23425	10689
412	23467	10625
413	23514	10564
414	23554	10500
415	23601	10438
416	23650	10379
417	23704	10321
418	23757	10262
419	23808	10203
420	23865	10146
421	23919	10089
422	23972	10030
423	24028	9974
424	24074	9913
425	24140	9860
426	24191	9801
427	24246	9744
428	24303	9687
429	24359	9630
430	24444	9585
431	24522	9536
432	24599	9487
433	24655	9430
434	24711	9373
435	24796	9327
436	24851	9269
437	24916	9215
438	24962	9154
439	25014	9096
440	25061	9035
441	25126	8981
442	25178	8923
443	25234	8866
444	25285	8807
445	25337	8748
446	25389	8690
447	25446	8633
448	25495	8574
449	25549	8516
450	25600	8457
451	25645	8397
452	25685	8334
453	25730	8274
454	25782	8216
455	25833	8157
456	25880	8098
457	25925	8038
458	25975	7979
459	26014	7917
460	26055	7856
461	26106	7798
462	26150	7737
463	26199	7679
464	26248	7620
465	26294	7561
466	26342	7502
467	26384	7441
468	26433	7383
469	26477	7323
470	26524	7264
471	26572	7206
472	26618	7147
473	26664	7088
474	26737	7036
475	26781	6976
476	26825	6917
477	26864	6856
478	26915	6799
479	26972	6743
480	27018	6684
481	27067	6626
482	27119	6569
483	27166	6510
484	27212	6452
485	27256	6393
486	27300	6334
487	27355	6278
488	27404	6220
489	27451	6162
490	27484	6101
491	27522	6041
492	27569	5983
493	27599	5922
494	27627	5860
495	27653	5798
496	27685	5737
497	27714	5676
498	27739	5614
499	27762	5552
500	27795	5492
501	27822	5431
502	27850	5370
503	27875	5309
504	27908	5250
505	27942	5190
506	27971	5130
507	28000	5070
508	28030	5011
509	28058	4951
510	28088	4892
511	28119	4832
512	28147	4773
513	28170	4713
514	28199	4654
515	28224	4594
516	28254	4536
517	28283	4477
518	28307	4417
519	28333	4358
520	28361	4300
521	28390	4242
522	28417	4183
523	28469	4129
524	28500	4071
525	28529	4013
526	28550	3954
527	28579	3897
528	28611	3840
529	28650	3784
530	28675	3726
531	28704	3669
532	28732	3611
533	28762	3554
534	28793	3498
535	28822	3441
536	28852	3384
537	28885	3328
538	28914	3272
539	28943	3215
540	28971	3159
541	28999	3103
542	29020	3046
543	29036	2989
544	29052	2931
545	29069	2875
546	29086	2818
547	29102	2761
548	29116	2704
549	29131	2648
550	29147	2592
551	29161	2535
552	29175	2479
553	29190	2423
554	29205	2368
555	29220	2312
556	29237	2257
557	29251	2201
558	29266	2146
559	29280	2091
560	29293	2036
561	29308	1981
562	29322	1927
563	29336	1872
564	29350	1818
565	29364	1763
566	29378	1709
567	29392	1655
568	29406	1602
569	29420	1548
570	29434	1494
571	29449	1441
572	29463	1388
573	29480	1335
574	29496	1282
575	29512	1229
576	29526	1176
577	29541	1124
578	29555	1071
579	29569	1019
580	29584	967
581	29598	915
582	29612	863
583	29626	811
584	29643	760
585	29662	708
586	29676	657
587	29691	605
588	29705	554
589	29719	503
590	29733	452
591	29748	402
592	29763	351
593	29778	300
594	29792	250
595	29806	200
596	29820	149
597	29834	99
598	29859	49
599	29873	0
